1.min X: -16.669000 	1.max X: 20.365100	1.mean X: 2.692180	1.std X: 4.860182
1.min Y: -26.229600 	1.max Y: 2.254600	1.mean Y: -2.037823	1.std Y: 5.487632
1.min Z: -0.932104 	1.max Z: 2.508270	1.mean Z: 0.301078 	1.std Z: 0.976263

2.min X: -3.248670 	2.max X: 55.444100 	2.mean X: 2.919955 	2.std X: 6.514845
2.min Y: -24.415900 	2.max Y: 7.672030	2.mean Y: -0.631905	2.std Y: 2.889497
2.min Z: -0.866526 	2.max Z: 10.918200	2.mean Z: 0.259603	2.std Z: 1.320387 

3.min X: -25.255900 	3.max X: 50.785300	3.mean X: 4.413887Z	3.std X: 7.634884	 
3.min Y: -26.838800 	3.max Y: 62.459000 	3.mean Y: 0.448610	3.std Y: 12.156476 
3.min Z: -1.112660	3.max Z: 16.283300 	3.mean Z: 1.098380	3.std Z: 2.363697

 
  

 
 
 

 
 

 

